Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),cuantización,Attention Implementation
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,57.89473684210527,0.0031494642739956693,11338.07138638441,0.0005481642568889463,556426.3233476626,170633,2280,2.6241968737708197,0.0008071840855113247,1238.8747721240475,3523.377409319546,2.726440191268921,4.9728383273615835,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,57.98245614035088,0.0033347955033072823,12005.263811906216,0.0005804211573506325,599029.6461207181,170633,2280,2.6656314664416842,0.0008402996941616661,1190.0516053354756,3465.3813796217446,2.772069427702162,5.265466584169393,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,58.07017543859649,0.0033555196574368224,12079.870766772561,0.000584028196376879,601396.1770762644,170633,2280,2.655768964025709,0.0008689223674305699,1150.8507980488876,3473.1958291614856,2.765832463900248,5.298188932794983,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,57.719298245614034,0.0039705946577248095,14294.140767809315,0.0006910820001770031,820843.1458628656,170633,2280,3.0285204384062023,0.001277096438826176,783.0262222946411,3011.102395191514,3.190285987324185,6.2693599858812785,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,57.45614035087719,0.0031849003834894304,11465.641380561949,0.0005543319117463354,545066.6212753698,170633,2280,5.124434418148464,0.0006224652131398519,1606.515478922556,3637.27729905426,5.282125605477227,5.028790079193837,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,58.07017543859649,0.0032654501617467003,11755.62058228812,0.0005683516006520132,575961.9204498449,170633,2280,5.291156980726454,0.0006027133841263621,1659.1634205195362,3529.2257171404344,5.443844371371799,5.155973939600052,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,57.631578947368425,0.003261029365366283,11739.70571531862,0.0005675821610420016,567710.7438911472,170633,2280,5.22924902704027,0.0005679534192670855,1760.7077729903417,3575.6725695191535,5.373130559921265,5.148993734788868,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,57.80701754385965,0.0038269148662546833,13776.89351851686,0.0006660745324716277,759959.731572222,170633,2280,5.90831110212538,0.0008715385930580005,1147.3961198795134,3134.645021307837,6.129100879033406,6.042497157244236,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.02887713425379882,103957.68331367575,0.005026065216873685,44056693.2926459,51675,10892,0.1006306511599843,0.03739359735172985,26.742546072629715,147.6352373674961,2.584112738690725,9.544407208380072,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.012810023777210631,46116.08559795827,0.0022295846384235104,8760737.971312992,51675,10802,0.3361681496224752,0.016310731297708225,61.309329529602834,328.8757966895142,4.6334491124967245,4.269217329935037,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,71.95121951219512,0.005920555931842982,21314.001354634736,0.001030472759937271,1851986.6601173247,51675,10976,1.0358783115040173,0.006878275543711971,145.38527769713832,721.0330007369631,7.899146708575162,1.9418733012604534,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,72.5609756097561,0.004176775718621467,15036.39258703728,0.0007269678138260663,927189.2856279504,51675,10665,1.8539727926254272,0.004738788296234088,211.0244090867489,1010.9788027167068,10.277168989181519,1.4098820991127314,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.0030348563688956907,10925.482928024487,0.000528216751006295,488298.5171294317,51675,11082,3.56200909614563,0.003068716253663762,325.8691639561309,1404.1626342524598,14.897846937179565,0.9858764598470029,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,71.95121951219512,0.002631885116327163,9474.786418777787,0.0004580796044967427,365761.0369158256,51675,11008,5.3584548234939575,0.0025333129086120183,394.74002465328766,1623.7597150757392,19.301809072494507,0.8607182429849007,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.008973919972598044,32306.11190135296,0.0015619107712306897,4321230.643550104,170633,2280,0.07353028707336962,0.021901049530296996,45.65991226204214,1292.7212611380885,0.1173323861339636,14.169347325154808,16,auto
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.80701754385965,0.005316159100615598,19138.172762216152,0.0009252774914621449,1494769.672330665,170633,2280,0.22721079608850311,0.0058548327077899065,170.79907316044935,2213.878785534411,0.27404945775082235,8.393935422024628,16,auto
