Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen)," cuantización"
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,mmlu,1140,285,4,57.280701754385966,0.00853570775489104,30728.547917607746,0.0014856399347387857,3990855.1786042885,212260,2280,0.1714655876159668,0.03552930700151544,28.14577835580488,1651.9022553329398,0.11392501090702258,13.477433297196379,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,mmlu,1140,72,16,58.07017543859649,0.008734202754391098,31443.129915807953,0.0015201879894017707,4311622.389765499,267236,2280,0.7458140585157607,0.036590286618784856,27.329657469439343,1965.4844131305765,0.12028461903856512,13.790846454301734,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,mmlu,1140,36,32,57.80701754385965,0.009763268716698092,35147.76738011313,0.001699296920141303,5170039.642685011,296736,2280,1.6003667778438992,0.03924613720492313,25.480214645801055,2032.8170647205661,0.12903017265754835,15.41568744741804,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,mmlu,1140,18,64,57.80701754385965,0.010532220223141318,37915.99280330874,0.0018331329298377464,6210362.113225878,339176,2280,3.5717639923095703,0.04364075838473805,22.9143588932157,2084.684113841737,0.1436777903322588,16.629821404959973,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.02956307437946009,106427.06776605632,0.005145453095745029,46162451.885241605,51675,10926,0.13222974102671553,0.03771385770347689,26.51545243296097,144.32597483741785,2.644800529247377,9.74071643474797,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.014092931714625728,50734.55417265262,0.0024528747649306083,10513351.06307049,51675,10977,0.3349291347875828,0.01762691088861766,56.73143787467244,302.3414008489027,5.054212081723097,4.621896162216691,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.006461319774205164,23260.75118713859,0.0011245927067004087,2203935.694359535,51675,10699,1.0329009836370295,0.0077939254790335595,128.3050502202132,658.3069089809379,8.613556320017034,2.1741051675052425,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.004325023387160737,15570.084193778655,0.0007527703205353264,995706.1016609436,51675,10743,1.8359952370325725,0.0049272994805145765,202.95092757292,976.0445512848833,10.658324956893921,1.4493236706486694,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.0029665041425845297,10679.414913304307,0.0005163200460168374,463949.38755312405,51675,10692,3.5617799758911133,0.0030637854411278242,326.39361313496073,1435.5942431797803,14.481111288070679,0.9988229436311548,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,71.95121951219512,0.0023346491567137542,8404.736964169515,0.0004063456857260289,288256.8362639346,51675,10765,5.362591624259949,0.002189667059884645,456.69043404830757,1820.5700959065305,17.14847457408905,0.7807465828304241,16
